activity_id,date,start_time,name,type,duration_min,distance_km,avg_hr,max_hr,calories,avg_power,norm_power,training_load,aerobic_te,anaerobic_te,elevation_gain_m,avg_speed_kmh
23163627735,2026-06-06,2026-06-06 05:03:16,MyWhoosh - Arabia - Desert Pearls,indoor_cycling,60.0,18.73,129.0,142.0,279.0,77.36896168795114,78.04427042666727,,,,2662.8505249023438,18.72
23160967524,2026-06-07,2026-06-07 15:49:59,Thi Xa Di An Cycling,cycling,54.9,21.75,154.0,180.0,394.0,111.0,144.0,326.20013427734375,4.400000095367432,3.5,85.0,23.75
23159675217,2026-06-07,2026-06-07 14:09:39,Quan 10 Cycling,cycling,50.2,20.35,142.0,176.0,326.0,89.0,105.0,208.4268798828125,3.9000000953674316,2.799999952316284,72.0,24.3
23158879580,2026-06-07,2026-06-07 12:55:18,Bien Hoa Motorcycle,motorcycling_v2,45.8,30.05,102.0,160.0,152.0,,,13.448394775390625,0.699999988079071,0.4000000059604645,175.0,39.39
23157609222,2026-06-07,2026-06-07 08:13:47,Meditation,meditation,10.0,,89.0,102.0,,,,1.6547088623046875,0.10000000149011612,0.0,,
23157609018,2026-06-07,2026-06-07 07:57:38,Relax and Focus,breathwork,15.6,,87.0,131.0,,,,2.3707122802734375,0.10000000149011612,0.0,,
23157491749,2026-06-07,2026-06-07 06:28:04,Quan Binh Tan Motorcycle,motorcycling_v2,67.5,43.97,85.0,110.0,155.0,,,0.9166717529296875,0.0,0.0,142.0,39.1
23156887461,2026-06-07,2026-06-07 05:34:50,Quan 12 Motorcycle,motorcycling_v2,22.9,9.56,84.0,104.0,54.0,,,1.035064697265625,0.0,0.0,14.0,25.02
23156538092,2026-06-07,2026-06-07 03:57:48,Bien Hoa Motorcycle,motorcycling_v2,53.2,29.67,78.0,108.0,103.0,,,0.4224090576171875,0.0,0.0,120.0,33.43
23395889499,2026-06-08,2026-06-08 19:48:48,Evening Ride,cycling,68.4,23.08,126.0,140.0,248.0,63.51596392883256,72.5542335703052,,,,288.329665184021,20.25
